ASV,Timepoint,treatment_diff,Treatment,condval,Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV_ID,label,plastic_present,mode
1b5f92a1b622537f6bf18b99291b184c,T0,0.4142618216,ambient,-0.2275603768,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T0,0.4142618216,stress,0.1867014448,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T1,0.9485064469,ambient,-0.2622437071,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T1,0.9485064469,stress,0.6862627399,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T2,0.5476273239,ambient,-0.1474280549,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T2,0.5476273239,stress,0.400199269,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T3,1.09612529,ambient,-0.2812772762,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T3,1.09612529,stress,0.8148480138,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T4,-0.8208354803,ambient,0.5579593782,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T4,-0.8208354803,stress,-0.2628761021,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T5,-0.3957748587,ambient,0.4450517295,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T5,-0.3957748587,stress,0.04927687086,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
