sample,target,not_target,total_hosts
D20250407T211351_IFCB121_no_debris_sorted_output_target,65,194,259
D20250409T194455_IFCB121_no_debris_sorted_output_target,6,24,30
D20250409T204440_IFCB121_no_debris_sorted_output_target,420,780,1200
D20250411T212734_IFCB121_no_debris_sorted_output_target,6,6,12
D20250411T223103_IFCB121_no_debris_sorted_output_target,5,3,8
D20250411T231401_IFCB121_no_debris_sorted_output_target,315,2634,2949
D20250411T235953_IFCB121_no_debris_sorted_output_target,6,37,43
D20250415T202624_IFCB121_no_debris_sorted_output_target,3,10,13
D20250415T213251_IFCB121_no_debris_sorted_output_target,144,864,1008
D20250415T233326_IFCB121_no_debris_sorted_output_target,37,141,178
D20250416T002544_IFCB121_no_debris_sorted_output_target,33,152,185
D20250416T011805_IFCB121_no_debris_sorted_output_target,1,3,4
D20250416T015740_IFCB121_no_debris_sorted_output_target,0,48,48
D20250416T024211_IFCB121_no_debris_sorted_output_target,1,6,7
D20250416T200549_IFCB121_no_debris_sorted_output_target,1,8,9
D20250416T204945_IFCB121_no_debris_sorted_output_target,3,23,26
D20250416T213505_IFCB121_no_debris_sorted_output_target,0,5,5
D20250416T222509_IFCB121_no_debris_sorted_output_target,45,104,149
D20250417T001823_IFCB121_no_debris_sorted_output_target,23,87,110
D20250417T012221_IFCB121_no_debris_sorted_output_target,1,8,9
D20250417T021118_IFCB121_no_debris_sorted_output_target,5,11,16
D20250417T235439_IFCB121_no_debris_sorted_output_target,278,1404,1682
D20250418T004137_IFCB121_no_debris_sorted_output_target,8,297,305
D20250418T012641_IFCB121_no_debris_sorted_output_target,16,50,66
D20250418T021550_IFCB121_no_debris_sorted_output_target,3,19,22
D20250501T215234_IFCB121_no_debris_sorted_output_target,2,7,9
D20250501T223141_IFCB121_no_debris_sorted_output_target,5,14,19
D20250501T232405_IFCB121_no_debris_sorted_output_target,0,21,21
D20250502T000825_IFCB121_no_debris_sorted_output_target,2,7,9
D20250502T005303_IFCB121_no_debris_sorted_output_target,3,22,25
D20250502T013737_IFCB121_no_debris_sorted_output_target,33,329,362
D20250508T200000_IFCB121_no_debris_sorted_output_target,0,5,5
D20250508T203855_IFCB121_no_debris_sorted_output_target,19,103,122
D20250508T211817_IFCB121_no_debris_sorted_output_target,31,141,172
D20250508T220306_IFCB121_no_debris_sorted_output_target,17,152,169
D20250512T193447_IFCB121_no_debris_sorted_output_target,16,107,123
D20250512T201603_IFCB121_no_debris_sorted_output_target,4,40,44
D20250512T210411_IFCB121_no_debris_sorted_output_target,3,33,36
D20250513T190725_IFCB121_no_debris_sorted_output_target,0,5,5
D20250513T194817_IFCB121_no_debris_sorted_output_target,5,71,76
D20250513T202643_IFCB121_no_debris_sorted_output_target,8,98,106
D20250513T210558_IFCB121_no_debris_sorted_output_target,2,6,8
D20250609T201050_IFCB121_hosts,198,2455,2653
D20250609T213334_IFCB121_hosts,7,20,27
D20250610T005117_IFCB121_hosts,47,119,166
D20250610T015833_IFCB121_hosts,19,62,81
D20250610T024448_IFCB121_hosts,16,68,84
D20250610T032457_IFCB121_hosts,10,54,64
D20250505T223819_IFCB121_hosts,144,360,504
D20250505T231847_IFCB121_hosts,73,132,205
D20250506T000014_IFCB121_hosts,269,1191,1460
D20250507T202756_IFCB121_hosts,1,6,7
D20250507T210825_IFCB121_hosts,224,670,894
D20250507T214808_IFCB121_hosts,197,510,707
D20250507T232457_IFCB121_hosts,15,77,92
D20250508T000417_IFCB121_hosts,3,8,11
