Sample,Target,Quantity Mean,Quantity SD
AT0,16S,28281.65,654.1151
AT0,16S,28281.65,654.1151
AT0,16S,28281.65,654.1151
BT1,16S,21089.12,4011.348
BT1,16S,21089.12,4011.348
BT1,16S,21089.12,4011.348
CT2,16S,36522.97,13319.64
CT2,16S,36522.97,13319.64
CT2,16S,36522.97,13319.64
C1,16S,,
C1,16S,,
C1,16S,,
AT1,16S,45962.4,9144.763
AT1,16S,45962.4,9144.763
AT1,16S,45962.4,9144.763
BT2,16S,15310.57,3687.938
BT2,16S,15310.57,3687.938
BT2,16S,15310.57,3687.938
CT3,16S,15604.97,645.1103
CT3,16S,15604.97,645.1103
CT3,16S,15604.97,645.1103
C2,16S,,
C2,16S,,
C2,16S,,
AT2,16S,54110.02,5835.587
AT2,16S,54110.02,5835.587
AT2,16S,54110.02,5835.587
BT3,16S,21943.35,2193.293
BT3,16S,21943.35,2193.293
BT3,16S,21943.35,2193.293
CT4,16S,37203.78,3429.742
CT4,16S,37203.78,3429.742
CT4,16S,37203.78,3429.742
C3,16S,,
C3,16S,,
C3,16S,,
AT3,16S,29797.25,2427.355
AT3,16S,29797.25,2427.355
AT3,16S,29797.25,2427.355
BT4,16S,30050.53,4742.536
BT4,16S,30050.53,4742.536
BT4,16S,30050.53,4742.536
CT5,16S,43894.75,2843.575
CT5,16S,43894.75,2843.575
CT5,16S,43894.75,2843.575
C4,16S,,
C4,16S,,
C4,16S,,
AT4,16S,26114.39,3694.142
AT4,16S,26114.39,3694.142
AT4,16S,26114.39,3694.142
BT5,16S,20200.75,2413.071
BT5,16S,20200.75,2413.071
BT5,16S,20200.75,2413.071
CT6,16S,50329.98,7255.725
CT6,16S,50329.98,7255.725
CT6,16S,50329.98,7255.725
C5,16S,,
C5,16S,,
C5,16S,,
AT5,16S,109260.9,19314.03
AT5,16S,109260.9,19314.03
AT5,16S,109260.9,19314.03
BT6,16S,20946.07,4403.898
BT6,16S,20946.07,4403.898
BT6,16S,20946.07,4403.898
DT0,16S,45572.35,2918.583
DT0,16S,45572.35,2918.583
DT0,16S,45572.35,2918.583
C6,16S,,
C6,16S,,
C6,16S,,
AT6,16S,19009.53,1683.02
AT6,16S,19009.53,1683.02
AT6,16S,19009.53,1683.02
CT0,16S,33668.73,12246.55
CT0,16S,33668.73,12246.55
CT0,16S,33668.73,12246.55
DT1,16S,65451.32,9389.784
DT1,16S,65451.32,9389.784
DT1,16S,65451.32,9389.784
C7,16S,,
C7,16S,,
C7,16S,,
BT0,16S,18867.48,2348.531
BT0,16S,18867.48,2348.531
BT0,16S,18867.48,2348.531
CT1,16S,30224.48,7175.648
CT1,16S,30224.48,7175.648
CT1,16S,30224.48,7175.648
DT2,16S,40498.32,8021.709
DT2,16S,40498.32,8021.709
DT2,16S,40498.32,8021.709
NTC,16S,,
NTC,16S,,
NTC,16S,,
DT3,16S,28000.96,4975.652
DT3,16S,28000.96,4975.652
DT3,16S,28000.96,4975.652
ET4,16S,21039.62,547.8731
ET4,16S,21039.62,547.8731
ET4,16S,21039.62,547.8731
FT5,16S,12598.64,348.7688
FT5,16S,12598.64,348.7688
FT5,16S,12598.64,348.7688
C1,16S,,
C1,16S,,
